time,lineRef,directionRef,dateFrameRef,longitude,latitude,operatorRef,bearing,delay,vehicleRef,journeyPatternRef,originShortName,destinationShortName,originAimedDepartureTime,speed,timeAPI,timeStorage
2015-03-25T00:00:01.010+02:00,4Y,1,2015-03-24,23.7631437,61.4978835,TKL,0.0,124,TKL_030,4Y,3699,0001,2341,0.0,1427234401,1427234400
2015-03-25T00:00:01.010+02:00,9,1,2015-03-24,23.7622115,61.4978393,Paunu,253.0,9,Paunu_152,9,4045,0007,2335,7.2,1427234401,1427234400
2015-03-24T23:59:41.011+02:00,3,1,2015-03-24,23.7078212,61.5307055,TKL,92.0,2,TKL_018,3V,3615,1028,2310,25.2,1427234381,1427234400
2015-03-25T00:00:01.010+02:00,17,2,2015-03-24,23.9218792,61.4805132,LL,201.0,397,LL_106,17,1592,4065,2315,50.4,1427234401,1427234400
2015-03-25T00:00:01.010+02:00,17,1,2015-03-24,23.5858580,61.4964783,Paunu,234.0,272,Paunu_154,17,4065,1592,2315,36.0,1427234401,1427234400
2015-03-25T00:00:01.010+02:00,3,1,2015-03-24,23.7609162,61.4974487,TKL,0.0,4,TKL_282,3V,3615,0015,2330,0.0,1427234401,1427234400
2015-03-25T00:00:01.010+02:00,28Y,2,2015-03-24,23.9278085,61.5148917,TKL,48.0,180,TKL_275,28Y,0011,5211,2340,32.4,1427234401,1427234400
2015-03-25T00:00:02.010+02:00,4Y,1,2015-03-24,23.7631437,61.4978835,TKL,0.0,123,TKL_030,4Y,3699,0001,2341,0.0,1427234402,1427234402
2015-03-25T00:00:02.010+02:00,9,1,2015-03-24,23.7621708,61.4978342,Paunu,259.0,9,Paunu_152,9,4045,0007,2335,7.2,1427234402,1427234402
2015-03-24T23:59:41.011+02:00,3,1,2015-03-24,23.7078212,61.5307055,TKL,92.0,2,TKL_018,3V,3615,1028,2310,25.2,1427234381,1427234402
2015-03-25T00:00:02.010+02:00,17,2,2015-03-24,23.9217913,61.4803865,LL,198.0,399,LL_106,17,1592,4065,2315,50.4,1427234402,1427234402
2015-03-25T00:00:02.010+02:00,17,1,2015-03-24,23.5857112,61.4964272,Paunu,234.0,274,Paunu_154,17,4065,1592,2315,36.0,1427234402,1427234402
2015-03-25T00:00:02.010+02:00,3,1,2015-03-24,23.7609162,61.4974487,TKL,0.0,5,TKL_282,3V,3615,0015,2330,0.0,1427234402,1427234402
2015-03-25T00:00:02.010+02:00,28Y,2,2015-03-24,23.9279188,61.5149393,TKL,47.0,179,TKL_275,28Y,0011,5211,2340,25.2,1427234402,1427234402
2015-03-25T00:00:03.010+02:00,4Y,1,2015-03-24,23.7631437,61.4978835,TKL,0.0,122,TKL_030,4Y,3699,0001,2341,0.0,1427234403,1427234403
2015-03-25T00:00:03.010+02:00,9,1,2015-03-24,23.7621385,61.4978313,Paunu,261.0,9,Paunu_152,9,4045,0007,2335,7.2,1427234403,1427234403
2015-03-24T23:59:41.011+02:00,3,1,2015-03-24,23.7078212,61.5307055,TKL,92.0,2,TKL_018,3V,3615,1028,2310,25.2,1427234381,1427234403
2015-03-25T00:00:03.010+02:00,17,2,2015-03-24,23.9217047,61.4802563,LL,198.0,401,LL_106,17,1592,4065,2315,54.0,1427234403,1427234403
2015-03-25T00:00:03.010+02:00,17,1,2015-03-24,23.5855667,61.4963797,Paunu,236.0,275,Paunu_154,17,4065,1592,2315,32.4,1427234403,1427234403
2015-03-25T00:00:03.010+02:00,3,1,2015-03-24,23.7609162,61.4974487,TKL,0.0,5,TKL_282,3V,3615,0015,2330,0.0,1427234403,1427234403
2015-03-25T00:00:03.010+02:00,28Y,2,2015-03-24,23.9280052,61.5149798,TKL,46.0,179,TKL_275,28Y,0011,5211,2340,21.6,1427234403,1427234403
2015-03-25T00:00:05.016+02:00,4Y,1,2015-03-24,23.7631437,61.4978835,TKL,0.0,119,TKL_030,4Y,3699,0001,2341,0.0,1427234405,1427234404
2015-03-25T00:00:05.016+02:00,9,1,2015-03-24,23.7621097,61.4978258,Paunu,0.0,8,Paunu_152,9,4045,0007,2335,0.0,1427234405,1427234404
2015-03-24T23:59:41.011+02:00,3,1,2015-03-24,23.7078212,61.5307055,TKL,92.0,2,TKL_018,3V,3615,1028,2310,25.2,1427234381,1427234404
2015-03-25T00:00:05.016+02:00,17,2,2015-03-24,23.9215353,61.4799943,LL,196.0,403,LL_106,17,1592,4065,2315,57.6,1427234405,1427234404
2015-03-25T00:00:05.016+02:00,17,1,2015-03-24,23.5853158,61.4963007,Paunu,236.0,277,Paunu_154,17,4065,1592,2315,25.2,1427234405,1427234404
2015-03-25T00:00:05.016+02:00,3,1,2015-03-24,23.7609162,61.4974487,TKL,0.0,5,TKL_282,3V,3615,0015,2330,0.0,1427234405,1427234404
2015-03-25T00:00:05.016+02:00,28Y,2,2015-03-24,23.9281368,61.5150423,TKL,47.0,178,TKL_275,28Y,0011,5211,2340,18.0,1427234405,1427234404
2015-03-25T00:00:06.016+02:00,4Y,1,2015-03-24,23.7631437,61.4978835,TKL,0.0,119,TKL_030,4Y,3699,0001,2341,0.0,1427234406,1427234405
2015-03-25T00:00:06.016+02:00,9,1,2015-03-24,23.7621097,61.4978258,Paunu,0.0,7,Paunu_152,9,4045,0007,2335,0.0,1427234406,1427234405
2015-03-24T23:59:41.011+02:00,3,1,2015-03-24,23.7078212,61.5307055,TKL,92.0,2,TKL_018,3V,3615,1028,2310,25.2,1427234381,1427234405
2015-03-25T00:00:06.016+02:00,17,2,2015-03-24,23.9214277,61.4798585,LL,200.0,406,LL_106,17,1592,4065,2315,57.6,1427234406,1427234405
2015-03-25T00:00:06.016+02:00,17,1,2015-03-24,23.5852273,61.4962695,Paunu,232.0,278,Paunu_154,17,4065,1592,2315,18.0,1427234406,1427234405
2015-03-25T00:00:06.016+02:00,3,1,2015-03-24,23.7609162,61.4974487,TKL,0.0,5,TKL_282,3V,3615,0015,2330,0.0,1427234406,1427234405
2015-03-25T00:00:06.016+02:00,28Y,2,2015-03-24,23.9281848,61.5150645,TKL,46.0,178,TKL_275,28Y,0011,5211,2340,10.8,1427234406,1427234405
2015-03-25T00:00:07.021+02:00,4Y,1,2015-03-24,23.7631437,61.4978835,TKL,0.0,118,TKL_030,4Y,3699,0001,2341,0.0,1427234407,1427234406
2015-03-25T00:00:07.021+02:00,9,1,2015-03-24,23.7621105,61.4978235,Paunu,0.0,5,Paunu_152,9,4045,0007,2335,0.0,1427234407,1427234406
2015-03-24T23:59:41.011+02:00,3,1,2015-03-24,23.7078212,61.5307055,TKL,92.0,2,TKL_018,3V,3615,1028,2310,25.2,1427234381,1427234406
2015-03-25T00:00:07.021+02:00,17,2,2015-03-24,23.9213097,61.4797192,LL,200.0,408,LL_106,17,1592,4065,2315,57.6,1427234407,1427234406
2015-03-25T00:00:07.021+02:00,17,1,2015-03-24,23.5851622,61.4962372,Paunu,220.0,278,Paunu_154,17,4065,1592,2315,18.0,1427234407,1427234406
2015-03-25T00:00:07.021+02:00,3,1,2015-03-24,23.7609162,61.4974487,TKL,0.0,5,TKL_282,3V,3615,0015,2330,0.0,1427234407,1427234406
2015-03-25T00:00:07.021+02:00,28Y,2,2015-03-24,23.9282138,61.5150807,TKL,45.0,177,TKL_275,28Y,0011,5211,2340,7.2,1427234407,1427234406
2015-03-25T00:00:08.011+02:00,4Y,1,2015-03-24,23.7631437,61.4978835,TKL,0.0,117,TKL_030,4Y,3699,0001,2341,0.0,1427234408,1427234407
2015-03-25T00:00:08.011+02:00,9,1,2015-03-24,23.7621105,61.4978235,Paunu,0.0,5,Paunu_152,9,4045,0007,2335,0.0,1427234408,1427234407
2015-03-24T23:59:41.011+02:00,3,1,2015-03-24,23.7078212,61.5307055,TKL,92.0,2,TKL_018,3V,3615,1028,2310,25.2,1427234381,1427234407
2015-03-25T00:00:08.011+02:00,17,2,2015-03-24,23.9211917,61.4795842,LL,200.0,409,LL_106,17,1592,4065,2315,57.6,1427234408,1427234407
2015-03-25T00:00:08.011+02:00,17,1,2015-03-24,23.5851127,61.4961962,Paunu,206.0,279,Paunu_154,17,4065,1592,2315,21.6,1427234408,1427234407
2015-03-25T00:00:08.011+02:00,3,1,2015-03-24,23.7609162,61.4974487,TKL,0.0,5,TKL_282,3V,3615,0015,2330,0.0,1427234408,1427234407
2015-03-25T00:00:08.011+02:00,28Y,2,2015-03-24,23.9282275,61.5150892,TKL,46.0,176,TKL_275,28Y,0011,5211,2340,3.6,1427234408,1427234407
2015-03-25T00:00:09.016+02:00,4Y,1,2015-03-24,23.7631437,61.4978835,TKL,0.0,116,TKL_030,4Y,3699,0001,2341,0.0,1427234409,1427234408
2015-03-25T00:00:09.016+02:00,9,1,2015-03-24,23.7621105,61.4978235,Paunu,0.0,4,Paunu_152,9,4045,0007,2335,0.0,1427234409,1427234408
2015-03-24T23:59:41.011+02:00,3,1,2015-03-24,23.7078212,61.5307055,TKL,92.0,2,TKL_018,3V,3615,1028,2310,25.2,1427234381,1427234408
