time,lineRef,directionRef,dateFrameRef,longitude,latitude,operatorRef,bearing,delay,vehicleRef,journeyPatternRef,originShortName,destinationShortName,originAimedDepartureTime,speed,timeAPI,timeStorage
2015-03-25T03:04:01.010+02:00,1,2,2015-03-24,23.7955803,61.4794025,Paunu,0.0,13798,,1L,7035,4600,2249,0.0,1427245441,1427245440
2015-03-25T03:04:34.013+02:00,1,2,2015-03-24,23.7955803,61.4794025,Paunu,0.0,13829,,1L,7035,4600,2249,0.0,1427245474,1427245474
2015-03-25T03:05:02.014+02:00,1,2,2015-03-24,23.7955803,61.4794025,Paunu,0.0,13859,,1L,7035,4600,2249,0.0,1427245502,1427245501
2015-03-25T03:05:33.010+02:00,1,2,2015-03-24,23.7955803,61.4794025,Paunu,0.0,13889,,1L,7035,4600,2249,0.0,1427245533,1427245532
2015-03-25T03:05:11.011+02:00,1,1,2015-03-24,23.7958760,61.4803142,Paunu,0.0,31508,,1V,4600,7023,1745,0.0,1427245511,1427245532
2015-03-25T03:06:02.010+02:00,1,2,2015-03-24,23.7955803,61.4794025,Paunu,0.0,13919,,1L,7035,4600,2249,0.0,1427245562,1427245561
2015-03-25T03:05:11.011+02:00,1,1,2015-03-24,23.7958760,61.4803142,Paunu,0.0,31508,,1V,4600,7023,1745,0.0,1427245511,1427245561
2015-03-25T03:06:33.011+02:00,1,2,2015-03-24,23.7955803,61.4794025,Paunu,0.0,13949,,1L,7035,4600,2249,0.0,1427245593,1427245593
2015-03-25T03:07:02.013+02:00,1,2,2015-03-24,23.7951960,61.4794190,Paunu,291.0,13979,,1L,7035,4600,2249,14.4,1427245622,1427245622
2015-03-25T03:06:41.014+02:00,1,1,2015-03-24,23.7958760,61.4803142,Paunu,0.0,31599,,1V,4600,7023,1745,0.0,1427245601,1427245622
2015-03-25T03:07:33.015+02:00,1,2,2015-03-24,23.7919007,61.4797450,Paunu,268.0,14010,,1L,7035,4600,2249,39.6,1427245653,1427245653
